chr1	ENSG00000198892.6	ENST00000464117.1	chr1:201858573|201859715
isoform1_306	201858573:201858744!+,201859582:201859715!+,
>	1	1625
**	1
>	2	1626
>	3	1627
>	4	1628
**	2
>	5	1629
>	6	1630
>	7	1631
>	8	1632
**	1
>	9	1633
**	1
>	10	1634
**	2
>	11	1635
**	1
>	12	1636
**	2
>	13	1637
**	1
>	14	1638
**	1
>	15	1639
**	2
>	16	1640
**	1
>	17	1641
**	1
>	18	1642
**	1
>	19	1643
**	1
>	20	1644
**	1
>	21	1645
**	1
>	22	1646
**	2
>	23	1647
**	1
>	24	1648
**	1
>	25	1649
**	2
>	26	1650
**	2
>	27	1651
>	28	1652
**	2
>	29	1653
**	1
>	30	1654
>	31	1655
>	32	1656
**	1
>	33	1657
**	1
>	34	1658
>	35	1659
>	36	1660
**	1
>	37	1661
**	2
>	38	1662
**	1
>	39	1663
**	1
>	40	1664
**	1
>	41	1665
**	2
>	42	1666
**	2
>	43	1667
**	2
>	44	1668
>	45	1669
**	1
>	46	1670
**	2
>	47	1671
**	2
>	48	1672
**	2
>	49	1673
**	2
>	50	1674
**	2
>	51	1675
**	2
>	52	1676
>	53	1677
**	2
>	54	1678
>	55	1679
>	56	1680
**	1
**	2
>	57	1681
**	2
>	58	1682
**	2
>	59	1683
**	2
>	60	1684
**	2
>	61	1685
**	1
>	62	1686
**	1
>	63	1687
**	1
>	64	1688
>	65	1689
>	66	1690
**	1
>	67	1691
>	68	1692
**	1
>	69	1693
**	1
>	70	1694
>	71	1695
>	72	1696
**	2
>	73	1697
>	74	1698
**	1
>	75	1699
**	2
>	76	1700
**	2
>	77	1701
**	1
>	78	1702
**	1
>	79	1703
**	2
>	80	1704
**	1
**	2
>	81	1705
**	1
>	82	1706
**	1
>	83	1707
>	84	1708
**	2
>	85	1709
**	1
>	86	1710
**	2
>	87	1711
**	2
>	88	1712
**	1
>	89	1713
**	1
>	90	1714
**	2
>	91	1715
>	92	1716
**	2
>	93	1717
>	94	1718
>	95	1719
**	2
>	96	1720
**	1
chr1	ENSG00000174332.3	ENST00000312233.2	chr1:53986307|54060663
isoform1_1289	54059781:54060663!-,53995464:53995625!-,53990450:53990560!-,53986307:53986439!-,
>	1	2559
>	2	2560
>	3	2561
**	2
>	4	2562
>	5	2563
>	6	2564
>	7	2565
>	8	2566
>	9	2567
>	10	2568
>	11	2569
>	12	2570
>	13	2571
>	14	2572
>	15	2573
>	16	2574
>	17	2575
>	18	2576
>	19	2577
>	20	2578
>	21	2579
>	22	2580
>	23	2581
>	24	2582
>	25	2583
**	1
>	26	2584
>	27	2585
>	28	2586
>	29	2587
>	30	2588
>	31	2589
>	32	2590
>	33	2591
>	34	2592
>	35	2593
**	2
>	36	2594
>	37	2595
>	38	2596
>	39	2597
**	2
>	40	2598
>	41	2599
>	42	2600
**	1
>	43	2601
>	44	2602
>	45	2603
>	46	2604
>	47	2605
>	48	2606
>	49	2607
>	50	2608
>	51	2609
>	52	2610
>	53	2611
**	2
>	54	2612
>	55	2613
>	56	2614
**	1
>	57	2615
>	58	2616
>	59	2617
>	60	2618
>	61	2619
>	62	2620
>	63	2621
**	1
>	64	2622
chr1	ENSG00000117425.9	ENST00000447098.2	chr1:45293515|45295205
isoform1_975	45295074:45295205!-,45294829:45294984!-,45294654:45294746!-,45294178:45294303!-,45293968:45294086!-,45293515:45293863!-,
>	1	9571
>	2	9572
**	1
>	3	9573
**	2
>	4	9574
>	5	9575
>	6	9576
**	2
>	7	9577
**	2
>	8	9578
>	9	9579
>	10	9580
**	1
>	11	9581
>	12	9582
>	13	9583
>	14	9584
>	15	9585
>	16	9586
>	17	9587
>	18	9588
>	19	9589
>	20	9590
>	21	9591
>	22	9592
>	23	9593
**	2
>	24	9594
>	25	9595
>	26	9596
>	27	9597
>	28	9598
**	1
>	29	9599
>	30	9600
**	2
>	31	9601
>	32	9602
>	33	9603
>	34	9604
>	35	9605
>	36	9606
**	1
>	37	9607
>	38	9608
>	39	9609
>	40	9610
>	41	9611
**	2
>	42	9612
>	43	9613
>	44	9614
>	45	9615
>	46	9616
>	47	9617
>	48	9618
>	49	9619
**	1
>	50	9620
**	2
>	51	9621
>	52	9622
**	1
>	53	9623
>	54	9624
>	55	9625
>	56	9626
**	1
>	57	9627
>	58	9628
>	59	9629
>	60	9630
>	61	9631
>	62	9632
>	63	9633
>	64	9634
>	65	9635
>	66	9636
>	67	9637
**	2
>	68	9638
>	69	9639
>	70	9640
>	71	9641
>	72	9642
>	73	9643
>	74	9644
>	75	9645
>	76	9646
>	77	9647
>	78	9648
>	79	9649
**	1
>	80	9650
>	81	9651
>	82	9652
>	83	9653
>	84	9654
>	85	9655
>	86	9656
>	87	9657
>	88	9658
**	2
>	89	9659
>	90	9660
>	91	9661
>	92	9662
>	93	9663
>	94	9664
>	95	9665
>	96	9666
**	1
>	97	9667
>	98	9668
>	99	9669
>	100	9670
>	101	9671
>	102	9672
>	103	9673
>	104	9674
>	105	9675
**	1
>	106	9676
>	107	9677
>	108	9678
>	109	9679
**	2
>	110	9680
>	111	9681
>	112	9682
>	113	9683
>	114	9684
>	115	9685
>	116	9686
>	117	9687
>	118	9688
**	2
>	119	9689
>	120	9690
>	121	9691
>	122	9692
>	123	9693
**	1
>	124	9694
>	125	9695
**	1
>	126	9696
**	1
>	127	9697
>	128	9698
>	129	9699
>	130	9700
**	1
>	131	9701
>	132	9702
