chr1	ENSG00000198892.6	ENST00000464117.1	chr1:201858573|201859715
isoform1_306	201858573:201858744!+,201859582:201859715!+,
>	1	1635
**	1
>	2	1636
>	3	1637
**	2
>	4	1638
**	2
>	5	1639
**	2
>	6	1640
**	2
>	7	1641
**	1
>	8	1642
>	9	1643
**	2
>	10	1644
**	1
>	11	1645
**	1
>	12	1646
**	1
>	13	1647
>	14	1648
**	2
>	15	1649
**	2
>	16	1650
**	2
>	17	1651
**	1
>	18	1652
**	2
>	19	1653
>	20	1654
**	1
>	21	1655
**	1
**	2
>	22	1656
>	23	1657
>	24	1658
>	25	1659
**	1
>	26	1660
**	1
>	27	1661
>	28	1662
>	29	1663
>	30	1664
**	2
>	31	1665
**	2
>	32	1666
**	1
>	33	1667
>	34	1668
**	1
>	35	1669
**	2
>	36	1670
>	37	1671
>	38	1672
>	39	1673
**	2
>	40	1674
**	1
>	41	1675
**	2
>	42	1676
**	2
>	43	1677
**	2
>	44	1678
**	2
>	45	1679
**	1
>	46	1680
**	1
>	47	1681
**	2
>	48	1682
**	1
>	49	1683
**	2
>	50	1684
**	2
>	51	1685
**	1
>	52	1686
**	2
>	53	1687
**	1
**	2
>	54	1688
**	2
>	55	1689
**	1
>	56	1690
**	2
>	57	1691
>	58	1692
**	2
>	59	1693
>	60	1694
>	61	1695
**	1
>	62	1696
>	63	1697
>	64	1698
**	1
**	2
>	65	1699
**	2
>	66	1700
**	1
>	67	1701
>	68	1702
**	2
>	69	1703
**	1
>	70	1704
>	71	1705
>	72	1706
**	2
>	73	1707
**	1
>	74	1708
**	2
>	75	1709
**	1
>	76	1710
**	2
>	77	1711
**	1
>	78	1712
**	2
>	79	1713
**	1
>	80	1714
**	2
>	81	1715
>	82	1716
**	1
>	83	1717
**	1
>	84	1718
**	2
>	85	1719
**	1
>	86	1720
**	2
>	87	1721
**	2
>	88	1722
**	1
>	89	1723
>	90	1724
**	1
>	91	1725
**	1
>	92	1726
>	93	1727
**	1
>	94	1728
>	95	1729
>	96	1730
>	97	1731
**	2
>	98	1732
