chr1	ENSG00000198892.6	ENST00000464117.1	chr1:201858573|201859715
isoform1_306	201858573:201858744!+,201859582:201859715!+,
>	1	1654
>	2	1655
**	2
>	3	1656
>	4	1657
>	5	1658
**	1
**	2
>	6	1659
>	7	1660
**	1
>	8	1661
>	9	1662
**	1
>	10	1663
**	1
>	11	1664
**	1
**	2
>	12	1665
**	1
>	13	1666
**	1
>	14	1667
**	1
>	15	1668
**	2
>	16	1669
**	2
>	17	1670
**	1
>	18	1671
**	2
>	19	1672
**	1
>	20	1673
>	21	1674
**	2
>	22	1675
**	1
>	23	1676
>	24	1677
>	25	1678
>	26	1679
**	1
>	27	1680
**	1
>	28	1681
**	1
>	29	1682
>	30	1683
**	2
>	31	1684
>	32	1685
**	2
>	33	1686
**	1
>	34	1687
**	1
>	35	1688
**	2
>	36	1689
**	1
**	2
>	37	1690
**	1
>	38	1691
**	1
>	39	1692
>	40	1693
**	2
>	41	1694
**	1
>	42	1695
>	43	1696
>	44	1697
**	1
>	45	1698
**	1
>	46	1699
**	1
>	47	1700
**	1
>	48	1701
**	1
**	2
>	49	1702
>	50	1703
**	2
>	51	1704
>	52	1705
**	2
>	53	1706
**	2
>	54	1707
**	2
>	55	1708
**	1
>	56	1709
>	57	1710
**	1
>	58	1711
>	59	1712
>	60	1713
**	2
>	61	1714
**	1
>	62	1715
**	2
>	63	1716
**	1
>	64	1717
**	1
>	65	1718
**	2
>	66	1719
>	67	1720
**	2
>	68	1721
**	2
>	69	1722
**	1
>	70	1723
**	1
>	71	1724
**	1
>	72	1725
**	2
>	73	1726
**	1
>	74	1727
**	1
>	75	1728
**	2
>	76	1729
**	1
>	77	1730
**	1
>	78	1731
>	79	1732
**	2
>	80	1733
>	81	1734
**	1
>	82	1735
>	83	1736
**	2
>	84	1737
**	1
>	85	1738
**	1
>	86	1739
**	2
>	87	1740
**	1
>	88	1741
**	2
>	89	1742
**	1
>	90	1743
>	91	1744
>	92	1745
**	1
>	93	1746
**	2
>	94	1747
>	95	1748
**	2
>	96	1749
**	2
>	97	1750
**	1
>	98	1751
**	2
>	99	1752
**	2
>	100	1753
>	101	1754
**	2
>	102	1755
**	2
>	103	1756
**	1
**	2
>	104	1757
**	1
>	105	1758
>	106	1759
**	1
>	107	1760
>	108	1761
**	2
>	109	1762
**	2
>	110	1763
**	2
>	111	1764
**	2
>	112	1765
>	113	1766
**	2
chr1	ENSG00000174332.3	ENST00000312233.2	chr1:53986307|54060663
isoform1_1289	54059781:54060663!-,53995464:53995625!-,53990450:53990560!-,53986307:53986439!-,
>	1	2715
>	2	2716
>	3	2717
>	4	2718
>	5	2719
>	6	2720
>	7	2721
>	8	2722
>	9	2723
**	2
>	10	2724
**	2
>	11	2725
>	12	2726
>	13	2727
>	14	2728
>	15	2729
**	1
>	16	2730
>	17	2731
>	18	2732
>	19	2733
>	20	2734
>	21	2735
**	1
>	22	2736
>	23	2737
**	1
>	24	2738
>	25	2739
>	26	2740
>	27	2741
**	1
>	28	2742
>	29	2743
>	30	2744
**	2
>	31	2745
>	32	2746
>	33	2747
>	34	2748
**	2
>	35	2749
>	36	2750
>	37	2751
**	2
>	38	2752
**	1
>	39	2753
>	40	2754
>	41	2755
**	2
>	42	2756
>	43	2757
**	2
>	44	2758
>	45	2759
>	46	2760
>	47	2761
**	2
>	48	2762
>	49	2763
>	50	2764
>	51	2765
>	52	2766
>	53	2767
>	54	2768
>	55	2769
**	1
>	56	2770
**	1
>	57	2771
>	58	2772
>	59	2773
**	1
>	60	2774
>	61	2775
>	62	2776
>	63	2777
>	64	2778
>	65	2779
>	66	2780
>	67	2781
>	68	2782
**	1
>	69	2783
>	70	2784
>	71	2785
>	72	2786
>	73	2787
>	74	2788
>	75	2789
>	76	2790
>	77	2791
>	78	2792
>	79	2793
>	80	2794
>	81	2795
>	82	2796
>	83	2797
>	84	2798
**	2
>	85	2799
**	1
>	86	2800
>	87	2801
**	1
>	88	2802
>	89	2803
>	90	2804
>	91	2805
>	92	2806
**	2
>	93	2807
>	94	2808
>	95	2809
>	96	2810
>	97	2811
**	1
>	98	2812
>	99	2813
>	100	2814
>	101	2815
>	102	2816
>	103	2817
>	104	2818
>	105	2819
>	106	2820
>	107	2821
>	108	2822
>	109	2823
>	110	2824
>	111	2825
>	112	2826
>	113	2827
**	2
>	114	2828
>	115	2829
>	116	2830
>	117	2831
>	118	2832
>	119	2833
>	120	2834
>	121	2835
>	122	2836
>	123	2837
>	124	2838
>	125	2839
**	2
>	126	2840
**	1
>	127	2841
>	128	2842
>	129	2843
**	1
>	130	2844
**	2
>	131	2845
>	132	2846
>	133	2847
>	134	2848
>	135	2849
>	136	2850
>	137	2851
**	1
>	138	2852
>	139	2853
>	140	2854
**	1
>	141	2855
>	142	2856
>	143	2857
>	144	2858
**	1
>	145	2859
>	146	2860
>	147	2861
>	148	2862
>	149	2863
>	150	2864
**	1
>	151	2865
>	152	2866
>	153	2867
>	154	2868
**	1
>	155	2869
**	2
>	156	2870
**	2
>	157	2871
**	2
>	158	2872
>	159	2873
>	160	2874
>	161	2875
>	162	2876
>	163	2877
>	164	2878
>	165	2879
>	166	2880
>	167	2881
>	168	2882
>	169	2883
>	170	2884
>	171	2885
**	2
>	172	2886
>	173	2887
>	174	2888
>	175	2889
>	176	2890
**	1
>	177	2891
>	178	2892
>	179	2893
>	180	2894
>	181	2895
>	182	2896
**	1
>	183	2897
>	184	2898
>	185	2899
>	186	2900
>	187	2901
>	188	2902
>	189	2903
**	1
>	190	2904
>	191	2905
>	192	2906
>	193	2907
>	194	2908
>	195	2909
>	196	2910
>	197	2911
**	1
>	198	2912
>	199	2913
>	200	2914
>	201	2915
>	202	2916
**	2
>	203	2917
>	204	2918
>	205	2919
>	206	2920
**	1
>	207	2921
>	208	2922
**	1
>	209	2923
>	210	2924
>	211	2925
>	212	2926
>	213	2927
>	214	2928
>	215	2929
>	216	2930
**	2
>	217	2931
>	218	2932
>	219	2933
>	220	2934
>	221	2935
>	222	2936
>	223	2937
>	224	2938
**	1
>	225	2939
>	226	2940
>	227	2941
>	228	2942
>	229	2943
>	230	2944
>	231	2945
>	232	2946
>	233	2947
>	234	2948
>	235	2949
**	2
>	236	2950
>	237	2951
>	238	2952
**	1
>	239	2953
**	1
>	240	2954
>	241	2955
>	242	2956
>	243	2957
>	244	2958
>	245	2959
>	246	2960
>	247	2961
>	248	2962
>	249	2963
