chr1	ENSG00000198892.6	ENST00000464117.1	chr1:201858573|201859715
isoform1_306	201858573:201858744!+,201859582:201859715!+,
>	1	2068
>	2	2069
**	2
>	3	2070
>	4	2071
**	1
>	5	2072
**	1
>	6	2073
**	2
>	7	2074
**	2
>	8	2075
**	2
>	9	2076
**	2
>	10	2077
**	1
>	11	2078
**	1
>	12	2079
**	2
>	13	2080
**	2
>	14	2081
**	1
>	15	2082
**	2
>	16	2083
**	1
>	17	2084
**	2
>	18	2085
**	2
>	19	2086
>	20	2087
**	2
>	21	2088
**	2
>	22	2089
>	23	2090
>	24	2091
**	2
>	25	2092
>	26	2093
>	27	2094
>	28	2095
**	2
>	29	2096
>	30	2097
>	31	2098
>	32	2099
**	1
>	33	2100
**	2
>	34	2101
>	35	2102
>	36	2103
**	1
>	37	2104
**	1
>	38	2105
>	39	2106
>	40	2107
**	2
>	41	2108
**	2
>	42	2109
>	43	2110
>	44	2111
>	45	2112
**	1
>	46	2113
**	1
>	47	2114
**	2
>	48	2115
>	49	2116
**	1
>	50	2117
**	1
>	51	2118
**	2
>	52	2119
>	53	2120
**	2
>	54	2121
**	2
>	55	2122
**	1
>	56	2123
>	57	2124
**	1
>	58	2125
**	2
>	59	2126
**	2
>	60	2127
>	61	2128
**	2
>	62	2129
>	63	2130
**	1
>	64	2131
>	65	2132
**	2
>	66	2133
**	2
>	67	2134
**	2
>	68	2135
**	2
>	69	2136
>	70	2137
>	71	2138
**	1
>	72	2139
>	73	2140
**	1
>	74	2141
**	1
>	75	2142
**	1
>	76	2143
>	77	2144
**	1
>	78	2145
>	79	2146
**	1
>	80	2147
**	2
>	81	2148
**	1
>	82	2149
**	2
>	83	2150
**	2
>	84	2151
**	1
>	85	2152
>	86	2153
>	87	2154
**	1
>	88	2155
**	2
>	89	2156
**	2
>	90	2157
**	1
>	91	2158
**	1
>	92	2159
**	2
>	93	2160
**	1
>	94	2161
>	95	2162
**	2
>	96	2163
>	97	2164
>	98	2165
>	99	2166
**	1
>	100	2167
**	2
>	101	2168
**	2
>	102	2169
>	103	2170
**	2
>	104	2171
**	2
>	105	2172
**	1
>	106	2173
>	107	2174
**	2
>	108	2175
>	109	2176
**	1
>	110	2177
>	111	2178
**	2
>	112	2179
>	113	2180
**	2
>	114	2181
>	115	2182
**	2
>	116	2183
**	2
>	117	2184
**	2
>	118	2185
**	1
**	2
>	119	2186
**	2
>	120	2187
**	2
>	121	2188
**	1
>	122	2189
**	1
>	123	2190
**	2
>	124	2191
**	2
>	125	2192
>	126	2193
**	2
>	127	2194
>	128	2195
**	2
>	129	2196
**	2
>	130	2197
**	1
>	131	2198
>	132	2199
**	1
>	133	2200
**	2
>	134	2201
>	135	2202
**	1
>	136	2203
>	137	2204
**	1
>	138	2205
**	2
>	139	2206
>	140	2207
**	1
>	141	2208
**	1
>	142	2209
**	1
>	143	2210
**	2
>	144	2211
**	1
>	145	2212
**	1
>	146	2213
**	1
>	147	2214
**	1
>	148	2215
**	2
>	149	2216
**	1
>	150	2217
**	1
>	151	2218
>	152	2219
**	2
>	153	2220
>	154	2221
>	155	2222
**	1
>	156	2223
>	157	2224
>	158	2225
**	2
>	159	2226
**	2
>	160	2227
**	1
>	161	2228
**	1
chr1	ENSG00000174332.3	ENST00000312233.2	chr1:53986307|54060663
isoform1_1289	54059781:54060663!-,53995464:53995625!-,53990450:53990560!-,53986307:53986439!-,
>	1	2986
>	2	2987
>	3	2988
>	4	2989
>	5	2990
>	6	2991
>	7	2992
>	8	2993
>	9	2994
>	10	2995
>	11	2996
>	12	2997
>	13	2998
>	14	2999
>	15	3000
>	16	3001
>	17	3002
>	18	3003
>	19	3004
>	20	3005
>	21	3006
**	1
>	22	3007
>	23	3008
>	24	3009
>	25	3010
>	26	3011
>	27	3012
**	2
>	28	3013
>	29	3014
>	30	3015
**	1
>	31	3016
>	32	3017
>	33	3018
>	34	3019
**	2
>	35	3020
>	36	3021
**	2
>	37	3022
**	1
>	38	3023
>	39	3024
>	40	3025
>	41	3026
>	42	3027
>	43	3028
**	2
>	44	3029
>	45	3030
>	46	3031
>	47	3032
>	48	3033
>	49	3034
>	50	3035
>	51	3036
>	52	3037
>	53	3038
>	54	3039
>	55	3040
>	56	3041
>	57	3042
>	58	3043
**	1
>	59	3044
>	60	3045
>	61	3046
>	62	3047
**	2
>	63	3048
**	1
>	64	3049
>	65	3050
>	66	3051
>	67	3052
>	68	3053
>	69	3054
**	1
>	70	3055
>	71	3056
>	72	3057
>	73	3058
>	74	3059
>	75	3060
>	76	3061
>	77	3062
>	78	3063
>	79	3064
>	80	3065
>	81	3066
>	82	3067
>	83	3068
>	84	3069
**	1
>	85	3070
>	86	3071
>	87	3072
>	88	3073
>	89	3074
**	1
>	90	3075
>	91	3076
>	92	3077
**	1
>	93	3078
>	94	3079
>	95	3080
>	96	3081
>	97	3082
>	98	3083
>	99	3084
>	100	3085
>	101	3086
>	102	3087
>	103	3088
>	104	3089
>	105	3090
>	106	3091
**	1
>	107	3092
>	108	3093
>	109	3094
>	110	3095
>	111	3096
>	112	3097
>	113	3098
**	2
>	114	3099
>	115	3100
>	116	3101
>	117	3102
**	2
>	118	3103
>	119	3104
>	120	3105
>	121	3106
>	122	3107
**	1
>	123	3108
>	124	3109
>	125	3110
**	1
>	126	3111
>	127	3112
>	128	3113
>	129	3114
**	1
>	130	3115
>	131	3116
>	132	3117
>	133	3118
>	134	3119
**	1
>	135	3120
>	136	3121
>	137	3122
**	1
>	138	3123
>	139	3124
>	140	3125
>	141	3126
**	2
>	142	3127
>	143	3128
>	144	3129
>	145	3130
>	146	3131
>	147	3132
**	1
>	148	3133
>	149	3134
**	2
>	150	3135
**	2
>	151	3136
>	152	3137
**	1
>	153	3138
>	154	3139
>	155	3140
>	156	3141
**	1
>	157	3142
>	158	3143
>	159	3144
>	160	3145
>	161	3146
>	162	3147
>	163	3148
>	164	3149
>	165	3150
**	2
>	166	3151
**	1
>	167	3152
>	168	3153
>	169	3154
>	170	3155
>	171	3156
>	172	3157
>	173	3158
>	174	3159
>	175	3160
>	176	3161
>	177	3162
>	178	3163
>	179	3164
>	180	3165
**	2
>	181	3166
>	182	3167
**	1
>	183	3168
>	184	3169
>	185	3170
>	186	3171
**	1
>	187	3172
>	188	3173
>	189	3174
**	2
>	190	3175
**	2
>	191	3176
>	192	3177
>	193	3178
>	194	3179
>	195	3180
**	2
>	196	3181
>	197	3182
>	198	3183
>	199	3184
>	200	3185
**	1
>	201	3186
>	202	3187
>	203	3188
>	204	3189
>	205	3190
>	206	3191
>	207	3192
>	208	3193
>	209	3194
>	210	3195
>	211	3196
>	212	3197
>	213	3198
>	214	3199
>	215	3200
>	216	3201
>	217	3202
>	218	3203
>	219	3204
chr1	ENSG00000117425.9	ENST00000447098.2	chr1:45293515|45295205
isoform1_975	45295074:45295205!-,45294829:45294984!-,45294654:45294746!-,45294178:45294303!-,45293968:45294086!-,45293515:45293863!-,
>	1	8289
**	2
>	2	8290
>	3	8291
>	4	8292
**	1
>	5	8293
>	6	8294
**	1
>	7	8295
>	8	8296
>	9	8297
>	10	8298
>	11	8299
**	2
>	12	8300
>	13	8301
**	1
>	14	8302
**	1
>	15	8303
>	16	8304
>	17	8305
**	1
>	18	8306
>	19	8307
**	1
>	20	8308
>	21	8309
**	2
>	22	8310
>	23	8311
>	24	8312
>	25	8313
**	1
>	26	8314
>	27	8315
**	2
>	28	8316
>	29	8317
>	30	8318
>	31	8319
>	32	8320
>	33	8321
**	2
>	34	8322
>	35	8323
>	36	8324
>	37	8325
**	2
>	38	8326
**	2
>	39	8327
>	40	8328
**	1
>	41	8329
>	42	8330
>	43	8331
**	2
>	44	8332
**	1
>	45	8333
>	46	8334
>	47	8335
>	48	8336
>	49	8337
>	50	8338
>	51	8339
>	52	8340
>	53	8341
>	54	8342
**	1
>	55	8343
>	56	8344
>	57	8345
>	58	8346
>	59	8347
**	1
>	60	8348
>	61	8349
>	62	8350
>	63	8351
>	64	8352
>	65	8353
>	66	8354
>	67	8355
>	68	8356
>	69	8357
>	70	8358
>	71	8359
>	72	8360
**	2
>	73	8361
>	74	8362
>	75	8363
>	76	8364
>	77	8365
>	78	8366
>	79	8367
>	80	8368
**	2
>	81	8369
>	82	8370
>	83	8371
>	84	8372
>	85	8373
>	86	8374
>	87	8375
>	88	8376
**	1
>	89	8377
**	2
>	90	8378
>	91	8379
>	92	8380
>	93	8381
>	94	8382
>	95	8383
>	96	8384
