chr1	ENSG00000198892.6	ENST00000464117.1	chr1:201858573|201859715
isoform1_306	201858573:201858744!+,201859582:201859715!+,
>	1	1676
**	1
>	2	1677
**	2
>	3	1678
**	1
>	4	1679
>	5	1680
>	6	1681
**	1
>	7	1682
>	8	1683
>	9	1684
**	1
>	10	1685
**	1
>	11	1686
**	2
>	12	1687
>	13	1688
**	2
>	14	1689
>	15	1690
>	16	1691
>	17	1692
**	2
>	18	1693
>	19	1694
**	2
>	20	1695
**	2
>	21	1696
>	22	1697
>	23	1698
>	24	1699
**	1
>	25	1700
>	26	1701
**	1
>	27	1702
>	28	1703
>	29	1704
**	1
>	30	1705
**	2
>	31	1706
>	32	1707
**	2
>	33	1708
**	2
>	34	1709
**	1
**	2
>	35	1710
**	2
>	36	1711
>	37	1712
>	38	1713
>	39	1714
>	40	1715
**	1
>	41	1716
**	2
>	42	1717
**	2
>	43	1718
**	1
>	44	1719
**	2
>	45	1720
**	1
>	46	1721
**	2
>	47	1722
**	2
>	48	1723
**	1
>	49	1724
>	50	1725
**	1
>	51	1726
**	2
>	52	1727
**	2
>	53	1728
**	2
>	54	1729
**	1
>	55	1730
>	56	1731
**	1
>	57	1732
>	58	1733
**	2
>	59	1734
>	60	1735
>	61	1736
**	2
>	62	1737
**	1
>	63	1738
>	64	1739
**	1
>	65	1740
**	2
>	66	1741
>	67	1742
**	1
>	68	1743
>	69	1744
**	2
>	70	1745
**	1
>	71	1746
>	72	1747
**	1
>	73	1748
>	74	1749
**	2
>	75	1750
**	2
>	76	1751
>	77	1752
**	2
>	78	1753
**	2
>	79	1754
**	1
>	80	1755
**	1
>	81	1756
**	1
>	82	1757
**	1
>	83	1758
**	1
>	84	1759
>	85	1760
**	1
>	86	1761
**	2
>	87	1762
>	88	1763
>	89	1764
>	90	1765
**	1
>	91	1766
**	2
>	92	1767
**	1
>	93	1768
**	2
>	94	1769
**	1
>	95	1770
>	96	1771
**	1
>	97	1772
**	1
**	2
>	98	1773
>	99	1774
>	100	1775
**	1
>	101	1776
**	1
>	102	1777
**	2
>	103	1778
>	104	1779
**	1
>	105	1780
**	2
>	106	1781
>	107	1782
**	2
>	108	1783
>	109	1784
**	1
>	110	1785
**	1
>	111	1786
**	2
>	112	1787
**	1
>	113	1788
>	114	1789
**	1
>	115	1790
>	116	1791
>	117	1792
>	118	1793
**	1
>	119	1794
**	2
>	120	1795
**	2
>	121	1796
>	122	1797
>	123	1798
**	1
>	124	1799
>	125	1800
>	126	1801
>	127	1802
**	2
>	128	1803
**	1
>	129	1804
**	1
chr1	ENSG00000174332.3	ENST00000312233.2	chr1:53986307|54060663
isoform1_1289	54059781:54060663!-,53995464:53995625!-,53990450:53990560!-,53986307:53986439!-,
>	1	3105
>	2	3106
>	3	3107
>	4	3108
>	5	3109
>	6	3110
>	7	3111
>	8	3112
>	9	3113
>	10	3114
>	11	3115
>	12	3116
>	13	3117
>	14	3118
>	15	3119
>	16	3120
>	17	3121
>	18	3122
**	2
>	19	3123
>	20	3124
>	21	3125
**	1
>	22	3126
>	23	3127
>	24	3128
>	25	3129
>	26	3130
**	2
>	27	3131
>	28	3132
>	29	3133
>	30	3134
>	31	3135
>	32	3136
>	33	3137
>	34	3138
>	35	3139
>	36	3140
>	37	3141
>	38	3142
>	39	3143
>	40	3144
>	41	3145
>	42	3146
>	43	3147
>	44	3148
>	45	3149
>	46	3150
>	47	3151
>	48	3152
>	49	3153
**	1
>	50	3154
>	51	3155
>	52	3156
>	53	3157
>	54	3158
>	55	3159
**	1
>	56	3160
**	1
>	57	3161
**	1
>	58	3162
>	59	3163
>	60	3164
>	61	3165
>	62	3166
>	63	3167
>	64	3168
>	65	3169
**	2
>	66	3170
>	67	3171
**	2
>	68	3172
>	69	3173
>	70	3174
>	71	3175
>	72	3176
>	73	3177
>	74	3178
>	75	3179
>	76	3180
>	77	3181
>	78	3182
>	79	3183
>	80	3184
**	1
>	81	3185
